Company Name,City ,State,Latitude,Longitude,Total Assets,Loan Growth Rate,OREO,Reserve / Loans,Past Due 30-89 Days,NPAs + 90 Day PDs,Net Charge Offs,Net Income 2023
Country Club Bank,Kansas City,Missouri,39.0997265,-94.5785667,2197073.0,0.0172,1714.0,0.0122,0.0024,0.0061,0.0008,25335.0
Lead Bank,Kansas City,Missouri,39.0997265,-94.5785667,935862.0,0.1214,800.0,0.005,0.0612,0.016,0.0032,17037.0
"UMB Bank, National Association",Kansas City,Missouri,39.0997265,-94.5785667,43729953.0,0.1015,1738.0,0.0095,0.0005,0.0004,0.0005,348973.0
Kearney Trust Company,Kearney,Missouri,39.3677802,-94.3621703,291069.0,0.0904,0.0,0.0146,0.0044,0.001,0.0003,4222.0
First Missouri Bank of SEMO,Kennett,Missouri,36.2361762,-90.0556493,217179.0,0.0829,0.0,0.0206,0.003,0.0062,-0.0003,9102.0
Kennett Trust Bank,Kennett,Missouri,36.2361762,-90.0556493,132119.0,-0.0333,0.0,0.0102,0.0385,0.0021,0.0008,706.0
Table Rock Community Bank,Kimberling City,Missouri,36.6333962,-93.4168531,165568.0,0.1649,0.0,0.0111,0.0268,0.0,0.0005,2352.0
Bank of Kirksville,Kirksville,Missouri,40.1947539,-92.5832496,407398.0,-0.0724,0.0,0.0156,0.003,0.0004,-0.0002,5902.0
Northeast Missouri State Bank,Kirksville,Missouri,40.1947539,-92.5832496,136392.0,0.0674,0.0,0.0145,0.0035,0.0002,-0.0002,1151.0
Lamar Bank and Trust Company,Lamar,Missouri,37.4950478,-94.2766148,241569.0,-0.0021,0.0,0.012,0.0005,0.0009,0.0001,4445.0
Goppert Financial Bank,Lathrop,Missouri,39.5483354,-94.3299461,257801.0,0.1378,0.0,0.0103,0.0,0.0,0.0,3176.0
Heritage Bank of the Ozarks,Lebanon,Missouri,37.6805967,-92.6637865,315978.0,0.1707,117.0,0.011,0.0049,0.0038,0.0002,2535.0
First Federal Bank of Kansas City,Lees Summit,Missouri,38.9108408,-94.3821724,960134.0,-0.013,690.0,0.0244,0.0075,0.0057,0.0138,564.0
Midwest BankCentre,Lemay,Missouri,38.5334425,-90.2871298,2753012.0,0.0527,560.0,0.0132,0.0094,0.0044,0.0025,26610.0
United State Bank,Lewistown,Missouri,40.086154,-91.8132225,269388.0,0.0496,5.0,0.0141,0.0039,0.0002,-0.0003,4346.0
Clay County Savings Bank,Liberty,Missouri,39.2461138,-94.4191177,152422.0,0.0424,0.0,0.0111,0.0008,0.0012,0.0012,16.0
Legends Bank,Linn,Missouri,38.4858749,-91.8504515,514016.0,0.1015,0.0,0.0116,0.008,0.0032,0.0003,8934.0
MA Bank,Macon,Missouri,39.7422561,-92.4726859,354362.0,0.0382,0.0,0.014,0.0068,0.0014,0.0005,3542.0
Alliant Bank,Madison,Missouri,39.4736487,-92.2098988,203635.0,0.0055,0.0,0.0127,0.0013,0.0009,0.0,2560.0
HomePride Bank,Mansfield,Missouri,37.1067189,-92.5807231,119866.0,0.0156,0.0,0.0125,0.0269,0.0124,0.0002,1057.0
CNB St Louis Bank,Maplewood,Missouri,38.6125521,-90.3245599,765984.0,0.0386,0.0,0.0176,0.0046,0.0052,0.0,7104.0
Regional Missouri Bank,Marceline,Missouri,39.7119703,-92.9482526,508157.0,0.0301,0.0,0.0102,0.0087,0.0015,0.0,7370.0
Community Bank of Marshall,Marshall,Missouri,39.1230777,-93.1968704,227328.0,0.0093,0.0,0.0138,0.003,0.0,-0.0002,1845.0
Wood & Huston Bank,Marshall,Missouri,39.1230777,-93.1968704,1217898.0,0.0451,267.0,0.0137,0.0025,0.0017,0.0004,12154.0
The Nodaway Valley Bank,Maryville,Missouri,40.3461017,-94.8724706,1399000.0,0.1093,185.0,0.0128,0.0009,0.0001,-0.0003,29546.0
Independent Farmers Bank,Maysville,Missouri,39.8891658,-94.3618967,154854.0,0.0256,0.0,0.0108,0.0022,0.0,0.0006,1656.0
Community Bank of Memphis,Memphis,Missouri,40.4578119,-92.1712924,50634.0,0.0095,0.0,0.0253,0.0,0.0,0.0003,431.0
UNICO Bank,Mineral Point,Missouri,37.9447722,-90.7242964,477243.0,0.0972,43.0,0.0069,0.0034,0.0081,0.0009,2635.0
Bank of Monticello,Monticello,Missouri,40.118377,-91.7121073,139381.0,-0.0202,0.0,0.0111,0.0309,0.0037,0.0002,2586.0
Montrose Savings Bank,Montrose,Missouri,38.2578023,-93.9813297,54001.0,0.0638,0.0,0.0188,0.0026,0.0001,0.0001,868.0
Legacy Bank & Trust Company,Mountain Grove,Missouri,37.1306078,-92.2634942,1687753.0,0.3783,0.0,0.0113,0.0082,0.008,0.0002,16558.0
Community Bank and Trust,Neosho,Missouri,36.8689554,-94.367996,388447.0,0.0293,0.0,0.01,0.0026,0.0006,0.0005,3908.0
Metz Banking Company,Nevada,Missouri,37.8392052,-94.3546719,98558.0,0.0624,0.0,0.0104,0.0048,0.0,0.0002,839.0
"The First National Bank of Nevada, Missouri",Nevada,Missouri,37.8392052,-94.3546719,110842.0,-0.0264,0.0,0.0202,0.0037,0.0046,0.0003,813.0
Bank of New Cambria,New Cambria,Missouri,39.7753068,-92.7504708,35216.0,-0.0009,0.0,0.0288,0.0005,0.0,-0.0002,244.0
Citizens Bank,New Haven,Missouri,38.6083822,-91.2190416,319752.0,0.0763,0.0,0.0169,0.0014,0.0003,0.0,3377.0
Bank of New Madrid,New Madrid,Missouri,36.5864488,-89.5278547,115489.0,0.0909,0.0,0.0142,0.012,0.0018,0.0001,1587.0
"Home Savings and Loan Association of Carroll County, F.A.",Norborne,Missouri,39.3025168,-93.6774377,123267.0,0.0698,0.0,0.0119,0.0163,0.0039,0.0,9.0
Bank of Odessa,Odessa,Missouri,38.9991748,-93.9535558,556082.0,0.3705,0.0,0.0136,0.0256,0.0067,0.0002,7863.0
The Bank of Old Monroe,Old Monroe,Missouri,38.9317176,-90.7467924,725767.0,0.3287,0.0,0.0143,0.0002,0.0,0.0002,15097.0
The Bank of Orrick,Orrick,Missouri,39.2127849,-94.1227232,99940.0,,0.0,0.0044,0.1055,0.0018,0.0072,1310.0
First Bank of the Lake,Osage Beach,Missouri,38.1503113,-92.6179621,972834.0,0.8892,0.0,0.0033,0.0047,0.0104,0.0005,9143.0
St. Clair County State Bank,Osceola,Missouri,38.0466967,-93.7043764,200444.0,0.0516,0.0,0.0124,0.041,0.0029,0.0003,3083.0
Ozark Bank,Ozark,Missouri,37.0208865,-93.2060163,373835.0,0.1159,0.0,0.0126,0.0,0.0,0.0,3781.0
Bank Star,Pacific,Missouri,38.4819976,-90.7415194,184584.0,0.004,0.0,0.0129,0.004,0.0,0.0001,1030.0
HomeBank,Palmyra,Missouri,39.7942118,-91.5232106,582079.0,0.1216,0.0,0.0101,0.0005,0.0004,0.0002,9158.0
TPNB Bank,Paris,Missouri,39.4808721,-92.0012811,112162.0,0.0855,0.0,0.0131,0.0082,0.0,0.0,587.0
The Bank of Missouri,Perryville,Missouri,37.7242202,-89.8612196,2920304.0,0.0659,431.0,0.0096,0.0021,0.0021,0.0017,21056.0
Citizens Community Bank,Pilot Grove,Missouri,38.874744,-92.9115825,126977.0,0.0147,0.0,0.0138,0.0107,0.0014,-0.0001,1252.0
Connections Bank,Platte City,Missouri,39.3702773,-94.7824609,482789.0,0.3935,0.0,0.0105,0.0016,0.0,0.0001,6436.0
Community Bank of Pleasant Hill,Pleasant Hill,Missouri,38.7875094,-94.2693911,136159.0,0.1448,0.0,0.0059,0.0013,0.0001,0.0042,914.0
First Midwest Bank of the Ozarks,Poplar Bluff,Missouri,36.7569994,-90.392888,728040.0,0.0067,100.0,0.0136,0.02,0.009,0.0007,12411.0
First Missouri State Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,257634.0,0.1059,129.0,0.0135,0.001,0.0041,-0.0009,3383.0
Southern Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,4593354.0,0.2449,3814.0,0.0134,0.0018,0.0021,0.0004,45384.0
Sterling Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,1383381.0,-0.0598,35.0,0.0149,0.0004,0.0025,0.0001,22370.0
First State Bank of Purdy,Purdy,Missouri,36.8172863,-93.92076,209148.0,-0.0234,300.0,0.0111,0.013,0.0087,0.001,3053.0
Community Bank of Raymore,Raymore,Missouri,38.801953,-94.4527294,334445.0,0.0863,0.0,0.012,0.0017,0.0007,0.0049,5324.0
Great Southern Bank,Reeds Spring,Missouri,36.7497827,-93.3779641,5815659.0,0.0186,0.0,0.0139,0.0029,0.002,0.0002,74806.0
